Line,New_Trans_Capacity,Cost_Trans_Capacity,iter,Policy,folder,case,weeks
6,-0.000311133,-42.624596000000004,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
7,740.0002,46869390.0,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
8,5150.0,210985200.0,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
9,4149.999,168676700.0,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
10,664.0003,34073840.0,22,p2_2045_high_mid_REF_high,MGA_0.05_8,max,january_test
1,3040.2974,276958940.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
2,100.00021,9226720.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
3,1345.7992,117490960.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
4,1399.9993,146467920.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
5,7062.471,593756000.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
6,-0.00025943133999999996,-35.541573,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
7,740.0,46869380.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
8,5150.0,210985200.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
9,4149.9995,168676740.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
10,664.00006,34073828.0,23,p2_2045_high_mid_REF_high,MGA_0.05_21,max,january_test
1,-1.4068535e-05,-1.2815872,Base,p2_2045_high_mid_REF_high,Base,max,january_test
2,99.99664,9226390.0,Base,p2_2045_high_mid_REF_high,Base,max,january_test
3,-3.8722523999999995e-06,-0.33805537,Base,p2_2045_high_mid_REF_high,Base,max,january_test
4,1399.9783,146465730.0,Base,p2_2045_high_mid_REF_high,Base,max,january_test
5,-9.352233e-06,-0.78626096,Base,p2_2045_high_mid_REF_high,Base,max,january_test
6,-1.3791756e-05,-1.8894429,Base,p2_2045_high_mid_REF_high,Base,max,january_test
7,739.9991,46869324.0,Base,p2_2045_high_mid_REF_high,Base,max,january_test
8,5149.9995,210985180.0,Base,p2_2045_high_mid_REF_high,Base,max,january_test
9,4149.634,168661870.0,Base,p2_2045_high_mid_REF_high,Base,max,january_test
10,663.9997,34073810.0,Base,p2_2045_high_mid_REF_high,Base,max,january_test
1,-4.224417e-05,-3.848275,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
2,99.99117,9225885.0,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
3,-3.899452e-05,-3.4042995000000005,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
4,-4.103262e-05,-4.292833,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
5,-3.9722177e-05,-3.3395227999999997,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
6,-4.246555999999999e-05,-5.8176966,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
7,739.99915,46869330.0,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
8,5149.9966,210985070.0,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
9,2802.4287,113904720.0,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
10,663.9996,34073800.0,24,p2_2045_high_mid_REF_high,MGA_0.05_2,max,january_test
1,3674.9988,334777700.0,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
2,99.99908,9226615.0,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
3,-0.0002586147,-22.577579999999998,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
4,1399.9820000000002,146466130.0,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
5,-0.0002550955,-21.44639,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
6,2857.9846,391538180.0,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
7,739.9998,46869370.0,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
8,5150.0,210985200.0,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
9,4149.9995,168676720.0,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
10,664.0002400000001,34073836.0,25,p2_2045_high_mid_REF_high,MGA_0.05_12,max,january_test
1,-0.00030245216,-27.552183000000003,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
2,99.99971,9226673.0,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
3,850.1879,74223100.0,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
4,1399.9991,146467900.0,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
5,-0.0002818451,-23.695282000000002,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
6,-0.00030382244999999997,-41.62307,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
7,740.0003,46869396.0,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
8,5150.0,210985200.0,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
9,4150.0,168676750.0,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
10,664.0003,34073840.0,26,p2_2045_high_mid_REF_high,MGA_0.05_4,max,january_test
1,980.322,89303416.0,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
2,99.99535999999999,9226272.0,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
3,2811.0203,245407700.0,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
4,911.54224,95365544.0,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
5,0.0006590838,55.41049,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
6,-0.00020554411,-28.159132,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
7,739.99963,46869360.0,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
8,4128.3486,169130180.0,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
9,1405.2799,57117600.0,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
10,663.9999,34073816.0,27,p2_2045_high_mid_REF_high,MGA_0.05_7,max,january_test
1,3674.9995,334777760.0,28,p2_2045_high_mid_REF_high,MGA_0.05_13,max,january_test
2,100.00010999999999,9226710.0,28,p2_2045_high_mid_REF_high,MGA_0.05_13,max,january_test
3,332.06284,28989750.0,28,p2_2045_high_mid_REF_high,MGA_0.05_13,max,january_test
4,1399.9993,146467920.0,28,p2_2045_high_mid_REF_high,MGA_0.05_13,max,january_test
