iter,Region,Resource Name,EndCap,NewCap,Policy,folder,case,weeks
3,WECC_N,hydrogen_storage,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,nuclear,0.01,0.01,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,onshore_wind,24927.197,21033.297,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,other_renewables,400.29400000000004,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_N,solar,1784.5919999999996,598.8919999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,NGCCS,13381.469,13381.469,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,ZCF,145.155,0.059,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,battery,1607.8020000000001,1607.8020000000001,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,flexible_load,7852.401999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,hydro,3960.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,hydrogen_storage,0.008,0.008,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,nuclear,4003.0040000000004,0.005,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,onshore_wind,19726.263999999996,18491.163999999993,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,other_renewables,18.294,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,pumped_hydro,216.3,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_NMAZ,solar,15069.414,8803.014000000003,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,ZCF,2325.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,battery,21084.045,21084.045,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,flexible_load,8967.414,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,hydro,29848.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,hydrogen_storage,0.011000000000000001,0.011000000000000001,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,nuclear,0.028999999999999998,0.028999999999999998,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
